 slim_337469241 slim_337494040 slim_337496981 slim_337497338 slim_337459970 slim_337488770 slim_337497329 slim_337494286 slim_337485200 slim_337481545 slim_337497897 slim_337498928 slim_337498944 slim_337491841 slim_337489268 slim_337498952 slim_337493176 slim_337498935 slim_337498960 slim_337498942 slim_337493798 slim_337498945 slim_337498146 slim_337492979 slim_337498918 slim_337498938 slim_337498954 slim_337499074 slim_337499021 slim_337498983 slim_337499089 slim_337499016 slim_337498982 slim_337499081 slim_337499039 slim_337498973 slim_337498991 slim_337499012 slim_337499002 slim_337499095 slim_337499019 slim_337499045 slim_337499069 slim_337499090 slim_337499009 slim_337499075 slim_337499092 slim_337499100 slim_337499048 slim_337498977 slim_337499029 slim_337499046 slim_337499084 slim_337499033 slim_337499061 slim_337499073 slim_337499052 slim_337499057 slim_337499078 slim_337499031 slim_337499036 slim_337499059 slim_337499083 slim_337498980 slim_337498986 slim_337498994 slim_337499051 slim_337499076 slim_337499080 slim_337499042 slim_337499035 slim_337499068 slim_337499082 slim_337499097 slim_337499079 slim_337499018 slim_337499017 slim_337499050 slim_337499062 slim_337499071 slim_337499028 slim_337499044 slim_337499055 slim_337499086 slim_337499098 slim_337499096 slim_337499077 slim_337498999 slim_337499099 slim_337499085 slim_337499022 slim_337499067 slim_337499015 slim_337498997 slim_337499056 slim_337499010 slim_337498976 slim_337499001 slim_337498998 slim_337498972 slim_337499034
10 0.0008706 0.00085695 0.0008384 0.0008549 0.0008344 0.0008558 0.0008732 0.00081955 0.0008338 0.0008622 0.000787 0.00086585 0.00081175 0.00085985 0.00090245 0.000855 0.00080815 0.0008484 0.0008317 0.00086415 0.00079495 0.00083225 0.00083055 0.00087975 0.00080785 0.0008651 0.00089835 0.0008356 0.00082415 0.00085635 0.0007976 0.0008304 0.0008291 0.00085395 0.0008529 0.0008622 0.00082435 0.00080595 0.000867 0.0008272 0.0008519 0.00062975 0.0008597 0.0008242 0.0007861 0.00087015 0.0008716 0.00087245 0.00085695 0.00084235 0.0008839 0.00084525 0.0008406 0.00082255 0.00088185 0.00088785 0.00085765 0.00084285 0.00083635 0.0008576 0.0008412 0.0008509 0.0008294 0.00086305 0.00087035 0.000856 0.00087745 0.0008337 0.0008161 0.00088125 0.0008659 0.0008587 0.00084825 0.00081385 0.00088215 0.0009017 0.0008367 0.00081455 0.0008351 0.0008487 0.0008482 0.00083395 0.00082115 0.0008304 0.00079955 0.00081065 0.00085235 0.00081285 0.00085195 0.0008489 0.0008175 0.00092755 0.0008341 0.00083845 0.00088485 0.0008416 0.00083445 0.00079765 0.00084475 0.0008057 0.0008342
11 0.0008468 0.0008303 0.00088435 0.0008569 0.00077335 0.0008258 0.00083845 0.000826 0.00078785 0.00086075 0.00086585 0.000927 0.00076175 0.0008567 0.00083215 0.00083575 0.0008349 0.0008671 0.0006479 0.0008333 0.00084255 0.00082795 0.00084975 0.00079875 0.00087525 0.00082945 0.00085075 0.00085195 0.0007573 0.00079865 0.0008672 0.00082535 0.00081105 0.0008195 0.0008316 0.0008844 0.00084775 0.0008432 0.00082905 0.00084105 0.0006544 0.00086285 0.00084265 0.0008569 0.000788 0.0008511 0.00084175 0.00082005 0.00084935 0.000817 0.0008378 0.00079295 0.00090215 0.00079085 0.00067665 0.0008499 0.00082705 0.00081265 0.0008236 0.0008222 0.00083135 0.0008461 0.0007888 0.0008441 0.0008513 0.00080115 0.0006193 0.0007869 0.00083385 0.0007906 0.0008296 0.00066035 0.00061125 0.0008396 0.00081845 0.0008412 0.0007784 0.0008705 0.0008342 0.0007712 0.0008678 0.0008102 0.00083565 0.0007814 0.00080235 0.0007806 0.0007924 0.0008739 0.00065445 0.00080705 0.00079425 0.00083475 0.00086935 0.0006524 0.00085305 0.0008386 0.0008084 0.00080655 0.0008074 0.00084025 0.00084765
12 0.00076175 0.00078435 0.00082405 0.0008234 0.000738 0.0008412 0.0008342 0.00080435 0.0007825 0.00081805 0.00081175 0.00076175 0.0007565 0.00080005 0.00082025 0.00082925 0.0008026 0.0008134 0.000786 0.00083025 0.00081695 0.00084635 0.00079205 0.0007998 0.00082045 0.00083445 0.0007953 0.00079235 0.0007718 0.0007698 0.00081035 0.00083245 0.0007914 0.0007546 0.0007821 0.00083665 0.00080405 0.000799 0.00080135 0.00075805 0.0007662 0.0008002 0.00065875 0.00077095 0.0007663 0.00077475 0.00078565 0.0008174 0.0008094 0.00065145 0.00083485 0.00075805 0.0008524 0.0007749 0.00079595 0.0008083 0.00080885 0.0008088 0.0008085 0.00083395 0.00076015 0.00079115 0.00070545 0.00079205 0.00077495 0.0008124 0.00078435 0.0007714 0.00081075 0.0008146 0.0007941 0.00076395 0.000759 0.0008183 0.000811 0.0008482 0.00073435 0.00081755 0.00082775 0.0007912 0.0008398 0.0007462 0.00080775 0.0007753 0.0007467 0.00060695 0.00080825 0.0008304 0.00076625 0.0008062 0.00058355 0.0008333 0.00087055 0.0008006 0.00081845 0.00082415 0.00079745 0.00075905 0.00075965 0.00082595 0.00078175
13 0.00083565 0.00085425 0.0008766 0.0008345 0.0008728 0.00087735 0.0008457 0.0008127 0.0008138 0.00085615 0.00085985 0.0008567 0.00080005 0.0009892 0.00085335 0.0008252 0.00086255 0.0008752 0.00085915 0.00088235 0.00086385 0.0008472 0.0008247 0.00086205 0.00084245 0.00083785 0.00085835 0.00087275 0.0008693 0.0008445 0.0008226 0.0008923 0.00083845 0.00085245 0.00068315 0.0008115 0.00084205 0.00081215 0.000851 0.00085705 0.0008538 0.0008558 0.0008758 0.00086235 0.0008027 0.00084285 0.0007024 0.00087115 0.00085555 0.0008484 0.00085685 0.0008599 0.0008884 0.00085735 0.00087365 0.00085965 0.0008591 0.0008137 0.0008479 0.0008178 0.00084635 0.00082655 0.000858 0.0008555 0.00084305 0.00085715 0.0008676 0.00084615 0.0008369 0.0008595 0.0008655 0.0008692 0.00086475 0.00084495 0.00084685 0.00087735 0.00084215 0.0008115 0.000864 0.00084965 0.00084335 0.00087745 0.00083385 0.00083145 0.00082725 0.00085415 0.000847 0.00085415 0.00085385 0.00087515 0.00081015 0.0008586 0.00085245 0.00086625 0.0008737 0.0008574 0.000845 0.0008344 0.00084475 0.0008179 0.000848
14 0.0008335 0.0008224 0.0008954 0.0008667 0.000842 0.0008091 0.0007129 0.00079625 0.00081165 0.00082205 0.00090245 0.00083215 0.00082025 0.00085335 0.0008708 0.0007948 0.00082025 0.00080395 0.00083115 0.00081895 0.0008447 0.0008496 0.0008272 0.0008174 0.0008462 0.00082445 0.00078705 0.0008601 0.00076825 0.00079075 0.0008726 0.00084585 0.0008663 0.0008369 0.00083515 0.00082155 0.0008047 0.00082435 0.0008089 0.0008304 0.00079295 0.0008585 0.0008285 0.0008369 0.0008926 0.00082445 0.00081845 0.00080775 0.0008643 0.0008432 0.0007503 0.00082 0.0008475 0.00077625 0.0006138 0.0008377 0.00076045 0.0007678 0.0008127 0.00083095 0.00085285 0.0008022 0.00081675 0.000852 0.00082465 0.00086735 0.0008516 0.00074115 0.00082095 0.00080315 0.0007739 0.00082385 0.00079535 0.00087415 0.00087335 0.0008174 0.00085555 0.00084195 0.0008539 0.00077375 0.00085365 0.0008221 0.000822 0.00082345 0.0007837 0.00084545 0.00082145 0.00084025 0.000793 0.0007952 0.0008527 0.0008423 0.00085125 0.00083255 0.0007684 0.0007997 0.0007484 0.0008177 0.0008005 0.00084175 0.00086555
15 0.00082195 0.00082275 0.00085785 0.00085065 0.00086455 0.00083035 0.0007727 0.00055625 0.00072005 0.00081975 0.000855 0.00083575 0.00082925 0.0008252 0.0007948 0.000762 0.00078035 0.0008364 0.0007968 0.0008336 0.00083835 0.0008303 0.00081815 0.0007386 0.00079335 0.0007619 0.00085395 0.00087685 0.0008155 0.00080345 0.00082555 0.0008514 0.00083895 0.0008484 0.0008179 0.0007757 0.0007687 0.00080775 0.00059825 0.00081205 0.0007668 0.00086275 0.00080495 0.0008295 0.00082055 0.0008084 0.0008361 0.0007884 0.00087555 0.00080355 0.000779 0.00082585 0.0007845 0.00083725 0.0008113 0.00087515 0.0007486 0.00076995 0.00077125 0.00081325 0.00085255 0.00080865 0.00080175 0.0007533 0.0008086 0.000796 0.00089975 0.0007637 0.00076275 0.0008192 0.00059095 0.00084165 0.000777 0.00083395 0.0008439 0.00086045 0.00083985 0.00081665 0.00082935 0.00084885 0.0008632 0.00082625 0.0005587 0.00081085 0.00078825 0.000823 0.00080225 0.0007734 0.00076685 0.0007956 0.0008076 0.0007516 0.0007481 0.0008337 0.0008445 0.00078765 0.0008174 0.0008037 0.000784 0.00083745 0.000842
16 0.00085075 0.0007902 0.00084365 0.00080825 0.0008518 0.00084405 0.00078795 0.0007848 0.000831 0.0008434 0.00080815 0.0008349 0.0008026 0.00086255 0.00082025 0.00078035 0.000739 0.00083855 0.0008162 0.00080025 0.00089305 0.00078335 0.00075905 0.0008056 0.0008119 0.0008348 0.0007986 0.0008371 0.00082605 0.0007745 0.0008457 0.00079785 0.00089285 0.00064485 0.0007705 0.00073295 0.00073265 0.0007899 0.0007411 0.0008413 0.00081655 0.0008076 0.0007917 0.00080805 0.00076595 0.00084755 0.0008316 0.00080445 0.0008371 0.0008114 0.00075145 0.0008418 0.00056375 0.00083885 0.0008105 0.00087515 0.0007966 0.00077335 0.00079265 0.0008092 0.0008641 0.00080065 0.00081295 0.00083425 0.00084775 0.00085225 0.00086235 0.0008007 0.00080915 0.0008723 0.00077045 0.00082535 0.00080215 0.00084545 0.0008277 0.00087655 0.0008839 0.00081065 0.0008409 0.00083565 0.00082655 0.0008598 0.000798 0.00083055 0.0008357 0.0008239 0.0008201 0.0005866 0.0008166 0.00087035 0.00082155 0.0008036 0.00086815 0.00080585 0.0007756 0.0008433 0.0007865 0.00083965 0.0008117 0.00082595 0.00086505
17 0.00083445 0.0008315 0.0008258 0.0008587 0.0008532 0.00080925 0.00081415 0.00082065 0.00080545 0.00084255 0.0008484 0.0008671 0.0008134 0.0008752 0.00080395 0.0008364 0.00083855 0.0009033 0.00083395 0.0008111 0.00083735 0.0008725 0.00082575 0.0008643 0.0008497 0.0008146 0.00087755 0.0008795 0.0008039 0.00081535 0.000849 0.0008022 0.00078875 0.0008506 0.00084585 0.0007534 0.00077555 0.0008193 0.0008322 0.00082305 0.0007963 0.0006442 0.0008616 0.0008197 0.0008644 0.0008163 0.00079585 0.0008643 0.0008628 0.0008234 0.0008342 0.0008111 0.00087565 0.00083135 0.00080335 0.000863 0.00083515 0.00081665 0.0008085 0.000808 0.0008629 0.00077115 0.0008326 0.0008563 0.0008165 0.0007908 0.00088105 0.0008461 0.0008198 0.00085135 0.00082825 0.0008543 0.0008549 0.0008274 0.00084615 0.00081775 0.0008095 0.00084665 0.00061725 0.0008139 0.00065025 0.00079215 0.0008207 0.00076925 0.0008298 0.0008058 0.0008825 0.00083675 0.00079635 0.00081525 0.00081055 0.00083255 0.0008408 0.00084255 0.00084495 0.00083545 0.0008043 0.0008004 0.0008366 0.00085455 0.00083925
18 0.00075435 0.00081975 0.00082265 0.0008739 0.0007732 0.00077915 0.00078415 0.00080175 0.00075275 0.0008311 0.0008317 0.0006479 0.000786 0.00085915 0.00083115 0.0007968 0.0008162 0.00083395 0.0007337 0.00078995 0.0008698 0.00085735 0.00088845 0.0008098 0.00072385 0.00082265 0.00089805 0.00082785 0.00072235 0.00079975 0.00074435 0.0008244 0.000795 0.00079435 0.00082415 0.00082755 0.0008297 0.0007564 0.000793 0.0008548 0.0005653 0.00082605 0.0008523 0.000814 0.00079265 0.00078835 0.0008154 0.00079015 0.0008094 0.0008422 0.0008123 0.0007803 0.0008874 0.00066955 0.0006314 0.0007765 0.0008509 0.0008009 0.00079715 0.0008364 0.00075255 0.00079765 0.0007801 0.0008025 0.00078855 0.00080555 0.0008576 0.00079995 0.00059515 0.0007091 0.0008059 0.00059005 0.000563 0.00081965 0.00080435 0.00075595 0.0007586 0.00072805 0.0008209 0.00075445 0.00083535 0.00077605 0.0007869 0.0007504 0.00075915 0.0008075 0.00078925 0.0008374 0.00056535 0.00078095 0.0008092 0.000827 0.0008385 0.0005861 0.00083265 0.00082335 0.00078965 0.00073745 0.0007777 0.0007024 0.0008237
19 0.0006812 0.00060915 0.00083195 0.0008706 0.0008401 0.0006071 0.00076645 0.00084365 0.00082755 0.00085495 0.00086415 0.0008333 0.00083025 0.00088235 0.00081895 0.0008336 0.00080025 0.0008111 0.00078995 0.0007338 0.00081425 0.00084565 0.0008254 0.00082995 0.000835 0.00071025 0.00084815 0.00087005 0.00086395 0.0005928 0.0008232 0.0008384 0.0007872 0.00082885 0.00060895 0.0008191 0.00083155 0.0007995 0.0007972 0.00082105 0.00078415 0.00083615 0.00086605 0.00071745 0.0007363 0.00084255 0.00085465 0.0008674 0.00081385 0.00083305 0.00081025 0.0006994 0.00089195 0.0008611 0.0007902 0.0006963 0.0008182 0.0007603 0.0006966 0.0008159 0.00082825 0.00071085 0.00072665 0.0008339 0.00084275 0.0008698 0.0008762 0.00080955 0.0008398 0.00067565 0.0007161 0.00080625 0.0007847 0.0007757 0.0005732 0.0004475 0.0008167 0.00081145 0.0008402 0.00083885 0.00082845 0.0008532 0.00082645 0.0007642 0.0007917 0.0008384 0.0008705 0.00081915 0.0007842 0.0008655 0.00082445 0.0008466 0.0008361 0.0007552 0.0008335 0.00082995 0.00076545 0.0008148 0.00077555 0.0008104 0.00082685
