 slim_761991651 slim_761991639 slim_761991664 slim_761991638 slim_761991640 slim_761991659 slim_761991635 slim_761991655 slim_761991649 slim_761991642 slim_761991645 slim_761991646 slim_761991661 slim_761991665 slim_761991641 slim_761991643 slim_761991636 slim_761991644 slim_761991654 slim_761991658 slim_761991647 slim_761991663 slim_761991633 slim_761991648 slim_761991637 slim_761991660 slim_761991650 slim_761991656 slim_761991653 slim_761991662 slim_761991652 slim_761991657 slim_761991634
15 1.57e-05 8.6e-06 5.05e-06 6.4e-06 2.785e-05 1.745e-05 2.77e-05 6e-07 1.29e-05 1.305e-05 2.45e-06 2.875e-05 5.05e-06 1.625e-05 8e-07 6e-07 4.4e-06 2.75e-06 3e-06 5e-06 2.45e-06 1.655e-05 1.66e-05 4.65e-06 4.35e-06 2.9e-06 7.15e-06 2.55e-06 1.795e-05 1.765e-05 3.75e-06 2.45e-06 2.85e-06
16 1.875e-05 5.05e-06 5.05e-06 6.35e-06 2.77e-05 1.76e-05 3e-05 4.4e-06 1.62e-05 1.62e-05 6.1e-06 2.85e-05 5.15e-06 1.9e-05 4.45e-06 4.4e-06 8.3e-06 6.4e-06 6.4e-06 7.75e-06 5.95e-06 1.895e-05 1.72e-05 7.8e-06 4.2e-06 6.1e-06 7.3e-06 6.05e-06 1.785e-05 1.81e-05 4.3e-06 5.95e-06 6.3e-06
17 1.405e-05 1.015e-05 6.95e-06 6.25e-06 2.765e-05 1.74e-05 2.585e-05 2.9e-06 1.31e-05 1.315e-05 2.7e-06 2.865e-05 7e-06 1.45e-05 2.95e-06 2.75e-06 6.4e-06 5.2e-06 3.15e-06 3.3e-06 2.8e-06 1.46e-05 1.655e-05 2.9e-06 6.35e-06 3.25e-06 7e-06 2.9e-06 1.745e-05 1.76e-05 5.85e-06 2.8e-06 3.1e-06
18 1.4e-05 1.01e-05 6.95e-06 6.15e-06 2.76e-05 1.72e-05 2.585e-05 2.85e-06 1.325e-05 1.32e-05 2.9e-06 2.86e-05 6.9e-06 1.445e-05 3e-06 3e-06 6.4e-06 3.15e-06 5.4e-06 3.25e-06 2.85e-06 1.455e-05 1.655e-05 2.8e-06 6.35e-06 3.25e-06 6.9e-06 2.95e-06 1.765e-05 1.755e-05 6.05e-06 2.85e-06 2.8e-06
19 1.175e-05 1.085e-05 8.5e-06 5.55e-06 2.695e-05 1.64e-05 2.355e-05 5.05e-06 1.31e-05 1.32e-05 2.95e-06 2.79e-05 8.65e-06 1.18e-05 5.3e-06 5e-06 7.75e-06 3.3e-06 3.25e-06 1e-06 2.8e-06 1.25e-05 1.56e-05 8e-07 7.7e-06 2.75e-06 6.6e-06 2.9e-06 1.7e-05 1.68e-05 7.95e-06 2.8e-06 3.15e-06
20 1.35e-05 9.85e-06 6.5e-06 5.9e-06 2.74e-05 1.705e-05 2.565e-05 2.45e-06 1.285e-05 1.305e-05 2.45e-06 2.825e-05 6.65e-06 1.41e-05 2.85e-06 2.45e-06 5.95e-06 2.8e-06 2.85e-06 2.8e-06 4.3e-06 1.44e-05 1.61e-05 2.35e-06 5.85e-06 2.75e-06 6.65e-06 2.25e-06 1.75e-05 1.725e-05 5.6e-06 2.15e-06 2.6e-06
21 1.235e-05 2.125e-05 1.87e-05 1.645e-05 1.695e-05 1.68e-05 1.23e-05 1.66e-05 1.475e-05 1.45e-05 1.435e-05 1.69e-05 1.87e-05 1.265e-05 1.645e-05 1.655e-05 1.895e-05 1.46e-05 1.455e-05 1.25e-05 1.44e-05 2.42e-05 1.635e-05 1.225e-05 1.89e-05 1.465e-05 1.65e-05 1.45e-05 1.685e-05 1.67e-05 1.885e-05 1.44e-05 1.45e-05
22 1.56e-05 1.785e-05 1.71e-05 1.665e-05 1.675e-05 1.635e-05 1.625e-05 1.665e-05 1.625e-05 1.635e-05 1.615e-05 1.67e-05 1.72e-05 1.55e-05 1.685e-05 1.66e-05 1.72e-05 1.655e-05 1.655e-05 1.56e-05 1.61e-05 1.635e-05 3.05e-05 1.58e-05 1.715e-05 1.61e-05 1.685e-05 1.62e-05 1.685e-05 1.6e-05 1.74e-05 1.61e-05 1.64e-05
23 1.155e-05 1.13e-05 8.25e-06 5.45e-06 2.71e-05 1.665e-05 2.365e-05 4.7e-06 1.3e-05 1.31e-05 2.5e-06 2.805e-05 8.35e-06 1.215e-05 4.95e-06 4.65e-06 7.8e-06 2.9e-06 2.8e-06 8e-07 2.35e-06 1.225e-05 1.58e-05 4e-07 7.75e-06 2.9e-06 6.2e-06 2.4e-06 1.715e-05 1.7e-05 7.6e-06 2.35e-06 2.65e-06
24 1.87e-05 5e-06 5e-06 6.3e-06 2.765e-05 1.755e-05 2.995e-05 4.3e-06 1.615e-05 1.615e-05 6.05e-06 2.845e-05 5.1e-06 1.895e-05 4.4e-06 4.35e-06 4.2e-06 6.35e-06 6.35e-06 7.7e-06 5.85e-06 1.89e-05 1.715e-05 7.75e-06 8.2e-06 6e-06 7.25e-06 5.95e-06 1.78e-05 1.805e-05 4.25e-06 5.85e-06 6.2e-06
25 1.39e-05 9.65e-06 6.85e-06 6e-06 2.745e-05 1.69e-05 2.575e-05 2.9e-06 1.315e-05 1.325e-05 2.9e-06 2.84e-05 6.9e-06 1.4e-05 3.2e-06 2.9e-06 6.1e-06 3.25e-06 3.25e-06 2.75e-06 2.75e-06 1.465e-05 1.61e-05 2.9e-06 6e-06 5.4e-06 6.95e-06 2.85e-06 1.75e-05 1.73e-05 6.05e-06 2.75e-06 3.1e-06
26 1.665e-05 7.55e-06 6.85e-06 6.25e-06 2.63e-05 1.705e-05 2.705e-05 7.15e-06 1.63e-05 1.605e-05 6.65e-06 2.745e-05 6.85e-06 1.705e-05 7.05e-06 7.15e-06 7.3e-06 7e-06 6.9e-06 6.6e-06 6.65e-06 1.65e-05 1.685e-05 6.2e-06 7.25e-06 6.95e-06 1.21e-05 6.75e-06 1.705e-05 1.7e-05 7.25e-06 6.65e-06 6.85e-06
27 1.36e-05 9.95e-06 6.6e-06 6e-06 2.75e-05 1.715e-05 2.575e-05 2.55e-06 1.295e-05 1.315e-05 2.55e-06 2.835e-05 6.75e-06 1.42e-05 2.95e-06 2.55e-06 6.05e-06 2.9e-06 2.95e-06 2.9e-06 2.25e-06 1.45e-05 1.62e-05 2.4e-06 5.95e-06 2.85e-06 6.75e-06 4.5e-06 1.76e-05 1.735e-05 5.7e-06 2.25e-06 2.7e-06
28 1.7e-05 1.74e-05 1.77e-05 1.69e-05 1.685e-05 1.71e-05 1.68e-05 1.785e-05 1.755e-05 1.725e-05 1.75e-05 1.71e-05 1.775e-05 1.7e-05 1.77e-05 1.795e-05 1.785e-05 1.745e-05 1.765e-05 1.7e-05 1.75e-05 1.685e-05 1.685e-05 1.715e-05 1.78e-05 1.75e-05 1.705e-05 1.76e-05 3.29e-05 1.71e-05 1.8e-05 1.75e-05 1.77e-05
29 1.585e-05 1.86e-05 1.705e-05 1.775e-05 1.61e-05 1.67e-05 1.565e-05 1.765e-05 1.64e-05 1.66e-05 1.735e-05 1.61e-05 1.72e-05 1.6e-05 1.785e-05 1.765e-05 1.81e-05 1.76e-05 1.755e-05 1.68e-05 1.725e-05 1.67e-05 1.6e-05 1.7e-05 1.805e-05 1.73e-05 1.7e-05 1.735e-05 1.71e-05 2.96e-05 1.83e-05 1.725e-05 1.755e-05
30 1.87e-05 5.45e-06 4.85e-06 6.5e-06 2.78e-05 1.775e-05 3.005e-05 3.9e-06 1.59e-05 1.59e-05 5.6e-06 2.86e-05 4.95e-06 1.92e-05 3.85e-06 3.75e-06 4.3e-06 5.85e-06 6.05e-06 7.95e-06 5.6e-06 1.885e-05 1.74e-05 7.6e-06 4.25e-06 6.05e-06 7.25e-06 5.7e-06 1.8e-05 1.83e-05 7.3e-06 5.6e-06 5.95e-06
31 1.35e-05 9.85e-06 6.5e-06 5.9e-06 2.74e-05 1.705e-05 2.565e-05 2.45e-06 1.285e-05 1.305e-05 2.45e-06 2.825e-05 6.65e-06 1.41e-05 2.85e-06 2.45e-06 5.95e-06 2.8e-06 2.85e-06 2.8e-06 2.15e-06 1.44e-05 1.61e-05 2.35e-06 5.85e-06 2.75e-06 6.65e-06 2.25e-06 1.75e-05 1.725e-05 5.6e-06 4.3e-06 2.6e-06
32 1.385e-05 1.015e-05 6.85e-06 6.1e-06 2.77e-05 1.715e-05 2.58e-05 2.85e-06 1.325e-05 1.335e-05 2.75e-06 2.85e-05 6.85e-06 1.435e-05 3.15e-06 2.85e-06 6.3e-06 3.1e-06 2.8e-06 3.15e-06 2.6e-06 1.45e-05 1.64e-05 2.65e-06 6.2e-06 3.1e-06 6.85e-06 2.7e-06 1.77e-05 1.755e-05 5.95e-06 2.6e-06 5.2e-06
